code,L1_Code,L1_Name,L2_Code,L2_Name,L3_Code,L3_Name,L4_Code,L4_Name,L5_Code,L5_Name,Description,References,Questions,Notes,,,,,,,,,,,,,,,,,
10000,10000,General Government,,,,,,,,,"The general government is responsible for the overall management of the government entity and is comprised of all legislative, executive, and administrative departments.",,,,,,,,,,,,,,,,,,,,
11000,10000,General Government,11000,Legislative,,,,,,,"The legislative arm of the government, derives its powers from the charter and the laws and Constitution of the state. It authorizes public improvements and expenditures, adopts regulations and ordinances, levies taxes, controls the finances and property taxes, and performs many related legislative tasks.",,,,,,,,,,,,,,,,,,,,
11100,10000,General Government,11000,Legislative,11100,Governing Body,,,,,"A group of publically elected members of the community that provide a proportional representation for the larger population.  This body (city council, town council, town board, etc) meets on a regular basis in a typical open forum, where the community can actively participate.",,,,,,,,,,,,,,,,,,,,
11200,10000,General Government,11000,Legislative,11200,Legislative Committees and Special Bodies,,,,,Smaller groups made up of legislative members who are tasked with providing more research or analysis into a given topic for the benefit of the larger governing body.,,,,,,,,,,,,,,,,,,,,
11300,10000,General Government,11000,Legislative,11300,Clerk of Council/Commission,,,,,The committee clerk communicates with the public to set the agenda for the committee and provide members of the community the opportunity to speak at council meetings.  They may also be responsible for recording the proceedings and decisions made by the council and providing that information back to the public.,http://wikipedia.org/wiki/Clerk_(municipal_official)#United_States,,,,,,,,,,,,,,,,,,,
11900,10000,General Government,11000,Legislative,11900,Other - Legislative,,,,,This broad category is meant to capture any entity specific organization within the legislative department.,,,,,,,,,,,,,,,,,,,,
13000,10000,General Government,13000,Executive,,,,,,,An executive organization exercises authority in and holds responsibility for the governance. The executive ensures the execution and enforcement of law.,,,,,,,,,,,,,,,,,,,,
13100,10000,General Government,13000,Executive,13100,Mayor/Commission Chairperson,,,,,"Under council-manager or city commission government, the mayor is a first among equals on the city council. He or she may chair the city council, lacking any special legislative powers, but in most cases able to set the legislative agenda. The mayor and city council serve part-time, with day-to-day administration in the hands of a professional city manager. The term weak-mayor is frequently used to describe the office.

In the second form, known as mayor-council government, the mayoralty and city council are separate offices. Under a strong mayor system, the mayor acts as an elected executive with the city council functioning with legislative powers. He or she may select a chief administrative officer to oversee the different departments. This is the system used in most of the United States' large cities, primarily because mayors serve full-time and have a wide range of services that they oversee.
",https://en.wikipedia.org/wiki/Mayoralty_in_the_United_States,,,,,,,,,,,,,,,,,,,
13200,10000,General Government,13000,Executive,13200,City Manager (manager or administrator),,,,,"Within the council-manager form of city government, the city manager is typically appointed as the lead administrative manager of the city.  This position is typically responsible for most if not all the day-to-day operations of the municipality.",https://en.wikipedia.org/wiki/City_manager,,,,,,,,,,,,,,,,,,,
13300,10000,General Government,13000,Executive,13300,Clerk Administration,,,,,"?The City Clerk's Office provides services that connect citizens to their government and maintains a recorded history of government actions. These services include Mayor and Council assistance, records management and research, boards and commissions administration, and customer service to both internal and external customers.",http://charlottenc.gov/CityClerk/Pages/CityClerk.aspx,,,,,,,,,,,,,,,,,,,
13400,10000,General Government,13000,Executive,13400,Selectmen,,,,,"The basic function consists of calling town meetings, proposing budgets to Town Meeting, setting public policy, calling elections, licensing, setting certain fees, overseeing certain volunteer and appointed bodies, and creating basic regulations.",http://wikipedia.org/wiki/Board_of_selectmen,,,,,,,,,,,,,,,,,,,
13900,10000,General Government,13000,Executive,13900,Other - Executive,,,,,Other portions of the executive branch that are not better defined elsewhere within this document.,,,,,,,,,,,,,,,,,,,,
14000,10000,General Government,14000,Elections,,,,,,,"The Election Commission is responsible for supervising all federal, state and municipal elections within the City; providing voter registration; certifying nomination papers and initiative petitions; conducting an annual census; administering municipal campaign and political finance reporting for the City.",https://www.cambridgema.gov/election,,,,,,,,,,,,,,,,,,,
15000,10000,General Government,15000,Finance / Treasury,,,,,,,"A Finance department is typically responsible for the planning, implementation, oversight, integrity and reporting of the City's operating and capital finances. It can sometimes oversee other functions such as Budget, Assessing, Purchasing, Management Information Systems, Personnel and Auditing. It can often be under the direction of the Assistant City Manager for Fiscal Affairs.",,CB: Consider re-numbering in L3_Code,,,,,,,,,,,,,,,,,,
15100,10000,General Government,15000,Finance / Treasury,15100,Administration - Finance,,,,,"The Administration Division provides leadership to the operating divisions of the Department, as well as financial policy direction to other City departments.",,,,,,,,,,,,,,,,,,,,
15101,10000,General Government,15000,Finance / Treasury,15100,Administration - Finance,15101,Finance Director,,,"Finance directors have broad authority in city government. As the chief bookkeeper, a finance director promotes transparency, efficiency and accountability.",,,,,,,,,,,,,,,,,,,,
15102,10000,General Government,15000,Finance / Treasury,15100,Administration - Finance,15102,Comptroller,,,"A comptroller is a management level position responsible for supervising the quality of accounting and financial reporting of an organization. A financial comptroller is a senior-level executive who acts as the head of accounting, and oversees the preparation of financial reports, such as balance sheets and income statements.",https://en.wikipedia.org/wiki/Comptroller,,,,,,,,,,,,,,,,,,,
15103,10000,General Government,15000,Finance / Treasury,15100,Administration - Finance,15103,Finance Committee,,,"Municipal finance committees exist to help set the local government's' financial policies, prepare budget line items and, in many cases, serve as an oversight committee for the finance department.",http://work.chron.com/municipal-finance-committee-job-descriptions-28547.html,,,,,,,,,,,,,,,,,,,
15109,10000,General Government,15000,Finance / Treasury,15100,Administration - Finance,15109,Other - Administration (Finance),,,Other aspects of the administration division that are not specified elsewhere in this document.,,,,,,,,,,,,,,,,,,,,
15110,10000,General Government,15000,Finance / Treasury,15110,General Supervision,,,,,"Mid level management that is responsible to supervise various financial personnel to ensure they comply with process, procedure, and legal requirements.  This group may also be tasked to supervise other departments across city government.",,,,,,,,,,,,,,,,,,,,
15120,10000,General Government,15000,Finance / Treasury,15120,Accounting,,,,,"Division responsible to record, classify, and report information on the financial position and operations of a governmental unit or any of its funds, account groups, and organizational components.",,,,,,,,,,,,,,,,,,,,
